제목,링크,썸네일,높이,폭
외출 레트로 디자인 유니크한 여성 찢어진 청바지 포인트 : 세덴이저,https://shop-phinf.pstatic.net/20240927_101/1727415298238PjNmY_JPEG/9432385088511943_555127583.jpg,https://search.pstatic.net/common/?type=b150&src=https://shop-phinf.pstatic.net/20240927_101/1727415298238PjNmY_JPEG/9432385088511943_555127583.jpg,1200,900
여성청바지  여성용 다이아몬드 자수 부드러운 일자 청바지 MOC : 해솔515,https://shop-phinf.pstatic.net/20240527_149/1716808240246G4SgN_PNG/3874214508667529_741174668.png,https://search.pstatic.net/common/?type=b150&src=https://shop-phinf.pstatic.net/20240527_149/1716808240246G4SgN_PNG/3874214508667529_741174668.png,1000,1000
3컬러 스판 기모 데님 남자 블랙진 겨울 청바지 빈티지 워싱 : 허벅스,http://shop1.phinf.naver.net/20221116_95/1668586832915tID0P_JPEG/29547765827750348_1045067954.jpg,https://search.pstatic.net/common/?type=b150&src=http://shop1.phinf.naver.net/20221116_95/1668586832915tID0P_JPEG/29547765827750348_1045067954.jpg,500,500
코디 데일리룩 모던한 별무늬 청바지 데이트룩 편안한 : 연이정원,http://shop1.phinf.naver.net/20240618_8/1718657278187Csj58_JPEG/38234165191828664_1213032109.jpg,https://search.pstatic.net/common/?type=b150&src=http://shop1.phinf.naver.net/20240618_8/1718657278187Csj58_JPEG/38234165191828664_1213032109.jpg,1000,750
코디 데이트룩 매력적인 독특한 여친룩 강아지 패턴 청바지 : 라티시아,https://shop-phinf.pstatic.net/20240719_104/1721319744753RdfnE_JPEG/8518351621480109_22876917.jpg,https://search.pstatic.net/common/?type=b150&src=https://shop-phinf.pstatic.net/20240719_104/1721319744753RdfnE_JPEG/8518351621480109_22876917.jpg,1000,750
디자이어로즈 남자 대학생 세미와이드청바지,http://shopping.phinf.naver.net/main_5096179/50961799357.20241022000934.jpg,https://search.pstatic.net/common/?type=b150&src=http://shopping.phinf.naver.net/main_5096179/50961799357.20241022000934.jpg,600,600
후니오 남자 일자핏 청바지 스트레이트 봄가을 긴 스몰팬츠 데님 자수 UNO1 : 후니오124,https://shop-phinf.pstatic.net/20240922_10/17269479525489kqoD_JPEG/9551795073175194_882145268.jpeg,https://search.pstatic.net/common/?type=b150&src=https://shop-phinf.pstatic.net/20240922_10/17269479525489kqoD_JPEG/9551795073175194_882145268.jpeg,800,800
남성 여름 청바지 인기 있는 기본템 스타일 트렌드 패션 : 둔덕마루,http://shop1.phinf.naver.net/20240428_267/1714237971334qJa7i_JPEG/20131263159762548_1935311578.jpg,https://search.pstatic.net/common/?type=b150&src=http://shop1.phinf.naver.net/20240428_267/1714237971334qJa7i_JPEG/20131263159762548_1935311578.jpg,800,800
남성청바지 순면 직장 청바지 엘리트 하이웨스트 가을 클래식 워킹 MF3,http://shopping.phinf.naver.net/main_5069097/50690976984.20241006004622.jpg,https://search.pstatic.net/common/?type=b150&src=http://shopping.phinf.naver.net/main_5069097/50690976984.20241006004622.jpg,1000,1000
스트레이트 크롭 청바지 여성 하이 웨이스트 부츠컷 : 친구집엔있어,http://shop1.phinf.naver.net/20240411_72/1712845349730G0r4L_JPEG/26912413737291137_1907495970.jpeg,https://search.pstatic.net/common/?type=b150&src=http://shop1.phinf.naver.net/20240411_72/1712845349730G0r4L_JPEG/26912413737291137_1907495970.jpeg,1000,666
빅사이즈 청바지 남자 통통바지 봄가을 통통바지 통바지 허리밴딩 라이트블루 워싱 : 비순다롬,https://shop-phinf.pstatic.net/20240709_214/1720458530024bcG8t_JPEG/9839889842789384_415828704.jpg,https://search.pstatic.net/common/?type=b150&src=https://shop-phinf.pstatic.net/20240709_214/1720458530024bcG8t_JPEG/9839889842789384_415828704.jpg,1200,900
남성 작업복 청바지 다용도 일상 보호 전문성 편안함 : 레이지던,http://shop1.phinf.naver.net/20240615_198/1718429503062YfY1Q_JPEG/20985790855872865_229751324.jpg,https://search.pstatic.net/common/?type=b150&src=http://shop1.phinf.naver.net/20240615_198/1718429503062YfY1Q_JPEG/20985790855872865_229751324.jpg,1000,750
여자 기모 청바지 여성 겨울 기모 데님팬츠 HK-000007641 : HIPKIDS,http://shop1.phinf.naver.net/20200106_299/157830178932171IW9_JPEG/1bk3f9g_201915155212756.jpg,https://search.pstatic.net/common/?type=b150&src=http://shop1.phinf.naver.net/20200106_299/157830178932171IW9_JPEG/1bk3f9g_201915155212756.jpg,430,430
남자 와이드 청바지 브러쉬 워싱 연청 데님팬츠 남자청바지 : MOMOCO,http://shop1.phinf.naver.net/20240808_72/1723103647670UKO0n_JPEG/72828742151122263_1771987978.jpg,https://search.pstatic.net/common/?type=b150&src=http://shop1.phinf.naver.net/20240808_72/1723103647670UKO0n_JPEG/72828742151122263_1771987978.jpg,2796,2796
와이드핏 밴딩 데님 청바지 팬츠 여자일자청바지 : BN마켓,https://shop-phinf.pstatic.net/20240829_193/1724858315724xaJJ0_JPEG/4897115716039595_1908575823.jpg,https://search.pstatic.net/common/?type=b150&src=https://shop-phinf.pstatic.net/20240829_193/1724858315724xaJJ0_JPEG/4897115716039595_1908575823.jpg,1000,1000
여성 청바지 빈티지한 매력적인 코디 럭셔리한 여친룩 : 온유1,https://shop-phinf.pstatic.net/20240919_155/17267545776901TOuR_JPEG/3562735737803593_688498580.jpg,https://search.pstatic.net/common/?type=b150&src=https://shop-phinf.pstatic.net/20240919_155/17267545776901TOuR_JPEG/3562735737803593_688498580.jpg,1000,750
마이진 남자청바지 긴 가을 데님팬츠 자수 봄 ADOR1 : 마이진23,https://shop-phinf.pstatic.net/20240509_243/17152564571188flQT_JPEG/12836189185510322_435227380.jpeg,https://search.pstatic.net/common/?type=b150&src=https://shop-phinf.pstatic.net/20240509_243/17152564571188flQT_JPEG/12836189185510322_435227380.jpeg,500,500
남성 주머니 청바지 품격있는 남성 편안한 다양한 기본템 : 뭉치둥치,https://shop-phinf.pstatic.net/20240705_25/1720108082168VaVFe_JPEG/35076927373238835_591669376.jpg,https://search.pstatic.net/common/?type=b150&src=https://shop-phinf.pstatic.net/20240705_25/1720108082168VaVFe_JPEG/35076927373238835_591669376.jpg,1200,900
세련된 일상룩 남성 플로럴 패턴 청바지 코디 캐주얼 유니크한 : 디파일론,https://shop-phinf.pstatic.net/20240710_35/1720551014996QwbnY_JPEG/9932374806330072_941671842.jpg,https://search.pstatic.net/common/?type=b150&src=https://shop-phinf.pstatic.net/20240710_35/1720551014996QwbnY_JPEG/9932374806330072_941671842.jpg,1200,900
