지역명,규모구분,연도,월,분양가격(제곱미터)
경기,전용면적 85제곱미터초과 102제곱미터이하,2015,11,"3,391"
경기,전용면적 102제곱미터초과,2015,11,3724
부산,모든면적,2015,11,"3,131"
부산,전용면적 60제곱미터이하,2015,11,2982
부산,전용면적 60제곱미터초과 85제곱미터이하,2015,11,"3,037"
부산,전용면적 85제곱미터초과 102제곱미터이하,2015,11,2957
부산,전용면적 102제곱미터초과,2015,11,"3,739"
대구,모든면적,2015,11,2749
대구,전용면적 60제곱미터이하,2015,11,"2,503"
대구,전용면적 60제곱미터초과 85제곱미터이하,2015,11,2806
대구,전용면적 85제곱미터초과 102제곱미터이하,2015,11,"2,557"
대구,전용면적 102제곱미터초과,2015,11,2743
광주,모든면적,2015,11,"2,424"
광주,전용면적 60제곱미터이하,2015,11,2251
광주,전용면적 60제곱미터초과 85제곱미터이하,2015,11,"2,444"
광주,전용면적 85제곱미터초과 102제곱미터이하,2015,11,  
광주,전용면적 102제곱미터초과,2015,11,  
대전,모든면적,2015,11,2454
대전,전용면적 60제곱미터이하,2015,11,"2,585"
대전,전용면적 60제곱미터초과 85제곱미터이하,2015,11,2428
대전,전용면적 85제곱미터초과 102제곱미터이하,2015,11,"2,461"
대전,전용면적 102제곱미터초과,2015,11,  
울산,모든면적,2015,11,"3,043"
울산,전용면적 60제곱미터이하,2015,11,2584
울산,전용면적 60제곱미터초과 85제곱미터이하,2015,11,"3,048"
울산,전용면적 85제곱미터초과 102제곱미터이하,2015,11,2663
울산,전용면적 102제곱미터초과,2015,11,"2,874"
세종,모든면적,2015,11,2648
세종,전용면적 60제곱미터이하,2015,11,"2,572"
세종,전용면적 60제곱미터초과 85제곱미터이하,2015,11,2666
세종,전용면적 85제곱미터초과 102제곱미터이하,2015,11,"2,644"
세종,전용면적 102제곱미터초과,2015,11,2749
강원,모든면적,2015,11,"2,171"
강원,전용면적 60제곱미터이하,2015,11,2292
강원,전용면적 60제곱미터초과 85제곱미터이하,2015,11,"2,193"
강원,전용면적 85제곱미터초과 102제곱미터이하,2015,11,2061
강원,전용면적 102제곱미터초과,2015,11,"2,171"
충북,모든면적,2015,11,2004
충북,전용면적 60제곱미터이하,2015,11,"1,921"
충북,전용면적 60제곱미터초과 85제곱미터이하,2015,11,2015
충북,전용면적 85제곱미터초과 102제곱미터이하,2015,11,"1,868"
충북,전용면적 102제곱미터초과,2015,11,2277
충남,모든면적,2015,11,"2,100"
충남,전용면적 60제곱미터이하,2015,11,2214
충남,전용면적 60제곱미터초과 85제곱미터이하,2015,11,"2,105"
충남,전용면적 85제곱미터초과 102제곱미터이하,2015,11,2523
충남,전용면적 102제곱미터초과,2015,11,"2,468"
전북,모든면적,2015,11,2057
전북,전용면적 60제곱미터이하,2015,11,"2,129"
전북,전용면적 60제곱미터초과 85제곱미터이하,2015,11,2057
전북,전용면적 85제곱미터초과 102제곱미터이하,2015,11,"2,377"
전북,전용면적 102제곱미터초과,2015,11,2282
전남,모든면적,2015,11,"1,909"
전남,전용면적 60제곱미터이하,2015,11,1999
전남,전용면적 60제곱미터초과 85제곱미터이하,2015,11,"1,906"
전남,전용면적 85제곱미터초과 102제곱미터이하,2015,11,2262
전남,전용면적 102제곱미터초과,2015,11,"2,176"
경북,모든면적,2015,11,2190
경북,전용면적 60제곱미터이하,2015,11,"2,210"
경북,전용면적 60제곱미터초과 85제곱미터이하,2015,11,2186
경북,전용면적 85제곱미터초과 102제곱미터이하,2015,11,"2,516"
경북,전용면적 102제곱미터초과,2015,11,2370
경남,모든면적,2015,11,"2,298"
경남,전용면적 60제곱미터이하,2015,11,2200
경남,전용면적 60제곱미터초과 85제곱미터이하,2015,11,"2,322"
경남,전용면적 85제곱미터초과 102제곱미터이하,2015,11,2980
경남,전용면적 102제곱미터초과,2015,11,"3,043"
제주,모든면적,2015,11,2232
제주,전용면적 60제곱미터이하,2015,11,  
제주,전용면적 60제곱미터초과 85제곱미터이하,2015,11,2225
제주,전용면적 85제곱미터초과 102제곱미터이하,2015,11,"2,583"
제주,전용면적 102제곱미터초과,2015,11,2574
서울,모든면적,2015,12,"6,041"
서울,전용면적 60제곱미터이하,2015,12,6321
서울,전용면적 60제곱미터초과 85제곱미터이하,2015,12,"5,966"
서울,전용면적 85제곱미터초과 102제곱미터이하,2015,12,6513
서울,전용면적 102제곱미터초과,2015,12,"6,551"
인천,모든면적,2015,12,3184
인천,전용면적 60제곱미터이하,2015,12,"3,328"
인천,전용면적 60제곱미터초과 85제곱미터이하,2015,12,3119
인천,전용면적 85제곱미터초과 102제곱미터이하,2015,12,"3,545"
인천,전용면적 102제곱미터초과,2015,12,3408
경기,모든면적,2015,12,"3,198"
